po_id,purchase_date,vendor,category,business_unit,item_description,quantity,unit_price_usd,total_spend_usd,contract_term_months,renewal_date,utilization_pct,status
PO-00023,2026-02-08,HPE,Server Hardware,Fraud & Risk,HPE Server Hardware,3,20509.17,61527.51,12,2027-02-03,65,Retired
PO-00024,2024-11-07,AWS,Cloud Services,Fraud & Risk,AWS Cloud Services,1,725281.81,725281.81,12,2025-11-02,66,Pending Renewal
PO-00025,2023-09-28,Juniper,Network Hardware,Consumer Products,Juniper Network Hardware,8,29637.23,237097.84,60,2028-09-01,94,Active
PO-00026,2025-06-01,Palo Alto,Network Hardware,Data Platform,Palo Alto Network Hardware,4,15847.47,63389.88,36,2028-05-16,56,Active
PO-00027,2023-07-21,HP,Laptops,Consumer Products,HP Laptops,37,2950.75,109177.75,12,2024-07-15,51,In Procurement
PO-00028,2023-10-15,HPE,Server Hardware,Fraud & Risk,HPE Server Hardware,7,27842.57,194897.99,36,2026-09-29,79,Active
PO-00029,2026-02-01,Pure Storage,Storage,Fraud & Risk,Pure Storage Storage,1,119135.73,119135.73,12,2027-01-27,100,In Procurement
PO-00030,2025-09-12,Dell,Server Hardware,Fraud & Risk,Dell Server Hardware,6,23037.32,138223.92,12,2026-09-07,94,In Procurement
PO-00031,2025-03-10,Dell,Laptops,Fraud & Risk,Dell Laptops,204,1205.60,245942.40,36,2028-02-23,100,Active
PO-00032,2023-04-30,HP,Laptops,Fraud & Risk,HP Laptops,107,1971.44,210944.08,60,2028-04-03,50,Retired
PO-00033,2025-09-03,Microsoft,Software License,Consumer Products,Microsoft Software License,161,14762.74,2376801.14,36,2028-08-18,91,Active
PO-00034,2024-04-26,Microsoft,Software License,Fraud & Risk,Microsoft Software License,36,148961.26,5362605.36,24,2026-04-16,54,Active
PO-00035,2023-06-17,Oracle,Software License,Corporate IT,Oracle Software License,305,10415.54,3176739.70,24,2025-06-06,52,Active
PO-00036,2025-03-21,NetApp,Storage,Consumer Products,NetApp Storage,3,71091.20,213273.60,12,2026-03-16,44,Retired
PO-00037,2023-05-29,Azure,Cloud Services,Data Platform,Azure Cloud Services,1,743924.48,743924.48,12,2024-05-23,5,Active
PO-00038,2024-12-15,HPE,Server Hardware,Corporate IT,HPE Server Hardware,9,12900.89,116108.01,12,2025-12-10,88,Active
PO-00039,2024-09-11,Pure Storage,Storage,Fraud & Risk,Pure Storage Storage,4,210930.06,843720.24,60,2029-08-16,100,Pending Renewal
PO-00040,2023-10-03,Lenovo,Server Hardware,Consumer Products,Lenovo Server Hardware,4,42740.41,170961.64,36,2026-09-17,63,Active
PO-00041,2024-12-03,HPE,Server Hardware,Merchant Services,HPE Server Hardware,10,30378.70,303787.00,12,2025-11-28,51,Pending Renewal
PO-00042,2024-07-20,Apple,Laptops,Core Payments,Apple Laptops,57,2849.14,162400.98,12,2025-07-15,28,Active
PO-00043,2025-06-23,NetApp,Storage,Consumer Products,NetApp Storage,3,52971.76,158915.28,60,2030-05-28,60,Active
PO-00044,2026-02-05,HPE,Server Hardware,Corporate IT,HPE Server Hardware,2,38880.02,77760.04,12,2027-01-31,40,Active
PO-00045,2023-03-23,Cisco,Network Hardware,Merchant Services,Cisco Network Hardware,6,108382.87,650297.22,36,2026-03-07,72,Active
PO-00046,2024-04-29,Dell EMC,Storage,Data Platform,Dell EMC Storage,5,191127.24,955636.20,12,2025-04-24,84,In Procurement
PO-00047,2024-11-11,Palo Alto,Security,Data Platform,Palo Alto Security,2,36388.12,72776.24,24,2026-11-01,82,In Procurement
PO-00048,2023-03-21,Juniper,Network Hardware,Fraud & Risk,Juniper Network Hardware,12,17431.00,209172.00,36,2026-03-05,26,Active
PO-00049,2024-04-11,Palo Alto,Network Hardware,Merchant Services,Palo Alto Network Hardware,5,99361.68,496808.40,12,2025-04-06,82,Active
PO-00050,2025-03-29,NetApp,Storage,Merchant Services,NetApp Storage,3,165748.21,497244.63,60,2030-03-03,70,In Procurement
PO-00051,2024-06-18,Splunk,Software License,Core Payments,Splunk Software License,60,219321.08,13159264.80,12,2025-06-13,12,Active
PO-00052,2025-06-12,Supermicro,Server Hardware,Merchant Services,Supermicro Server Hardware,24,37097.84,890348.16,60,2030-05-17,37,Pending Renewal
PO-00053,2025-06-12,Supermicro,Server Hardware,Corporate IT,Supermicro Server Hardware,7,17424.73,121973.11,12,2026-06-07,28,Retired
PO-00054,2023-05-24,GCP,Cloud Services,Consumer Products,GCP Cloud Services,1,297734.96,297734.96,36,2026-05-08,63,Active
PO-00055,2025-04-16,AWS,Cloud Services,Consumer Products,AWS Cloud Services,1,410626.78,410626.78,24,2027-04-06,52,Active
PO-00056,2023-12-23,Palo Alto,Network Hardware,Consumer Products,Palo Alto Network Hardware,7,82891.56,580240.92,60,2028-11-26,78,Pending Renewal
PO-00057,2024-03-06,Pure Storage,Storage,Corporate IT,Pure Storage Storage,1,86410.61,86410.61,36,2027-02-19,74,Active
PO-00058,2023-12-14,HP,Laptops,Data Platform,HP Laptops,119,2529.05,300956.95,60,2028-11-17,38,Active
PO-00059,2024-04-26,Dell EMC,Storage,Consumer Products,Dell EMC Storage,5,93769.24,468846.20,60,2029-03-31,53,Active
PO-00060,2023-05-30,Dell,Server Hardware,Fraud & Risk,Dell Server Hardware,16,30617.14,489874.24,36,2026-05-14,100,Active
PO-00061,2025-03-29,Oracle,Software License,Consumer Products,Oracle Software License,357,96302.63,34380038.91,12,2026-03-24,88,In Procurement
PO-00062,2025-11-26,CrowdStrike,Security,Data Platform,CrowdStrike Security,15,35780.17,536702.55,24,2027-11-16,94,Active
PO-00063,2025-08-09,Oracle,Software License,Core Payments,Oracle Software License,234,33768.11,7901737.74,36,2028-07-24,40,Active
PO-00064,2025-05-23,Zscaler,Security,Corporate IT,Zscaler Security,47,161103.55,7571866.85,36,2028-05-07,62,Active
PO-00065,2024-07-21,Palo Alto,Network Hardware,Data Platform,Palo Alto Network Hardware,5,91454.33,457271.65,60,2029-06-25,51,Active
PO-00066,2026-01-11,Lenovo,Server Hardware,Fraud & Risk,Lenovo Server Hardware,9,20426.36,183837.24,12,2027-01-06,69,Active
PO-00067,2024-03-14,Arista,Network Hardware,Data Platform,Arista Network Hardware,12,22572.61,270871.32,12,2025-03-09,51,Active
PO-00068,2023-02-10,Dell,Laptops,Fraud & Risk,Dell Laptops,225,2212.64,497844.00,60,2028-01-15,78,Active
PO-00069,2025-05-08,Dell,Laptops,Merchant Services,Dell Laptops,162,3159.04,511764.48,60,2030-04-12,67,Pending Renewal
PO-00070,2023-03-01,Palo Alto,Network Hardware,Fraud & Risk,Palo Alto Network Hardware,5,55121.14,275605.70,36,2026-02-13,40,Active
PO-00071,2023-09-19,GCP,Cloud Services,Data Platform,GCP Cloud Services,1,673999.47,673999.47,36,2026-09-03,21,Pending Renewal
PO-00072,2023-10-05,Salesforce,Software License,Core Payments,Salesforce Software License,43,160866.04,6917239.72,24,2025-09-24,57,Active
PO-00073,2024-10-31,Lenovo,Server Hardware,Data Platform,Lenovo Server Hardware,11,15831.43,174145.73,36,2027-10-16,69,In Procurement
PO-00074,2026-01-09,Zscaler,Security,Merchant Services,Zscaler Security,6,87303.70,523822.20,12,2027-01-04,46,Active
PO-00075,2024-05-21,Cisco,Network Hardware,Consumer Products,Cisco Network Hardware,1,91736.82,91736.82,12,2025-05-16,84,Active
PO-00076,2024-03-22,Palo Alto,Network Hardware,Consumer Products,Palo Alto Network Hardware,2,69856.50,139713.00,36,2027-03-07,42,Retired
PO-00077,2023-08-23,Pure Storage,Storage,Fraud & Risk,Pure Storage Storage,5,157703.16,788515.80,12,2024-08-17,78,Active
PO-00078,2024-02-11,Dell EMC,Storage,Consumer Products,Dell EMC Storage,4,108213.79,432855.16,12,2025-02-05,65,Pending Renewal
PO-00079,2024-09-09,GCP,Cloud Services,Fraud & Risk,GCP Cloud Services,1,560782.47,560782.47,36,2027-08-25,58,Pending Renewal
PO-00080,2025-01-28,CrowdStrike,Security,Merchant Services,CrowdStrike Security,35,79966.15,2798815.25,12,2026-01-23,61,Pending Renewal
PO-00081,2023-08-05,Azure,Cloud Services,Core Payments,Azure Cloud Services,1,659641.43,659641.43,24,2025-07-25,98,In Procurement
PO-00082,2024-07-07,Lenovo,Laptops,Data Platform,Lenovo Laptops,100,3107.87,310787.00,60,2029-06-11,60,In Procurement
PO-00083,2024-07-03,Datadog,Software License,Data Platform,Datadog Software License,224,206520.78,46260654.72,24,2026-06-23,92,Pending Renewal
PO-00084,2025-10-09,Lenovo,Laptops,Data Platform,Lenovo Laptops,204,2074.63,423224.52,36,2028-09-23,34,Active
PO-00085,2024-07-19,Lenovo,Laptops,Merchant Services,Lenovo Laptops,142,2084.88,296052.96,60,2029-06-23,100,Active
PO-00086,2025-09-02,Palo Alto,Network Hardware,Data Platform,Palo Alto Network Hardware,9,92188.94,829700.46,60,2030-08-07,71,Retired
PO-00087,2025-04-08,HP,Laptops,Core Payments,HP Laptops,57,1965.01,112005.57,60,2030-03-13,69,Active
PO-00088,2025-07-18,Apple,Laptops,Data Platform,Apple Laptops,291,2060.06,599477.46,36,2028-07-02,100,Active
PO-00089,2026-01-02,NetApp,Storage,Core Payments,NetApp Storage,2,89153.77,178307.54,60,2030-12-07,74,Active
PO-00090,2023-07-25,Dell EMC,Storage,Corporate IT,Dell EMC Storage,5,155245.82,776229.10,12,2024-07-19,82,Active
PO-00091,2025-12-29,Juniper,Network Hardware,Fraud & Risk,Juniper Network Hardware,5,6627.06,33135.30,12,2026-12-24,58,Pending Renewal
PO-00092,2023-01-26,Dell EMC,Storage,Fraud & Risk,Dell EMC Storage,4,39108.10,156432.40,60,2027-12-31,100,Active
PO-00093,2023-04-16,HP,Laptops,Data Platform,HP Laptops,184,1679.35,309000.40,36,2026-03-31,91,In Procurement
PO-00094,2023-04-20,Supermicro,Server Hardware,Data Platform,Supermicro Server Hardware,3,29349.78,88049.34,12,2024-04-14,58,Active
PO-00095,2025-05-02,Okta,Security,Core Payments,Okta Security,16,25729.02,411664.32,36,2028-04-16,42,In Procurement
PO-00096,2025-05-28,Datadog,Software License,Data Platform,Datadog Software License,466,110958.89,51706842.74,24,2027-05-18,50,Pending Renewal
PO-00097,2024-03-01,Microsoft,Software License,Corporate IT,Microsoft Software License,492,185152.28,91094921.76,36,2027-02-14,75,Active
PO-00098,2025-04-16,Arista,Network Hardware,Corporate IT,Arista Network Hardware,2,23001.25,46002.50,36,2028-03-31,99,Retired
PO-00099,2024-08-02,Datadog,Software License,Merchant Services,Datadog Software License,17,58253.32,990306.44,36,2027-07-18,73,Active
PO-00100,2026-01-20,Dell EMC,Storage,Corporate IT,Dell EMC Storage,2,114907.66,229815.32,12,2027-01-15,61,Retired
PO-00101,2024-09-21,Juniper,Network Hardware,Fraud & Risk,Juniper Network Hardware,2,11858.37,23716.74,60,2029-08-26,67,Active
PO-00102,2024-07-11,Dell,Laptops,Data Platform,Dell Laptops,165,3019.31,498186.15,60,2029-06-15,39,Pending Renewal
PO-00103,2024-10-22,HP,Laptops,Core Payments,HP Laptops,30,3512.50,105375.00,60,2029-09-26,67,Retired
PO-00104,2023-12-25,CrowdStrike,Security,Consumer Products,CrowdStrike Security,18,105843.22,1905177.96,24,2025-12-14,77,Pending Renewal
PO-00105,2025-06-11,Azure,Cloud Services,Merchant Services,Azure Cloud Services,1,797586.93,797586.93,36,2028-05-26,90,Active
PO-00106,2023-11-26,Pure Storage,Storage,Merchant Services,Pure Storage Storage,3,172481.37,517444.11,36,2026-11-10,14,Active
PO-00107,2026-01-31,Azure,Cloud Services,Merchant Services,Azure Cloud Services,1,652717.17,652717.17,12,2027-01-26,49,Active
PO-00108,2026-01-16,Supermicro,Server Hardware,Corporate IT,Supermicro Server Hardware,1,32333.43,32333.43,36,2028-12-31,73,Active
PO-00109,2025-10-17,HPE,Server Hardware,Corporate IT,HPE Server Hardware,12,31037.45,372449.40,60,2030-09-21,61,Active
PO-00110,2025-09-19,Oracle,Software License,Merchant Services,Oracle Software License,225,220271.23,49561026.75,12,2026-09-14,70,Active
PO-00111,2023-01-29,GCP,Cloud Services,Fraud & Risk,GCP Cloud Services,1,255492.61,255492.61,36,2026-01-13,54,In Procurement
PO-00112,2025-10-17,Supermicro,Server Hardware,Core Payments,Supermicro Server Hardware,21,38789.30,814575.30,60,2030-09-21,76,Active
PO-00113,2025-08-25,Salesforce,Software License,Merchant Services,Salesforce Software License,213,208763.62,44466651.06,12,2026-08-20,56,Active
PO-00114,2023-05-23,ServiceNow,Software License,Consumer Products,ServiceNow Software License,451,34558.83,15586032.33,24,2025-05-12,71,In Procurement
PO-00115,2023-01-06,Zscaler,Security,Merchant Services,Zscaler Security,33,51755.22,1707922.26,24,2024-12-26,61,Pending Renewal
PO-00116,2024-12-07,Azure,Cloud Services,Fraud & Risk,Azure Cloud Services,1,435478.66,435478.66,24,2026-11-27,26,Pending Renewal
PO-00117,2024-05-04,Zscaler,Security,Data Platform,Zscaler Security,21,157180.29,3300786.09,36,2027-04-19,35,Active
PO-00118,2025-02-19,Lenovo,Server Hardware,Consumer Products,Lenovo Server Hardware,16,34093.43,545494.88,36,2028-02-04,97,Retired
PO-00119,2024-11-10,Palo Alto,Security,Data Platform,Palo Alto Security,3,27093.10,81279.30,12,2025-11-05,84,Pending Renewal
PO-00120,2023-11-13,Dell,Laptops,Consumer Products,Dell Laptops,83,2265.94,188073.02,12,2024-11-07,51,Active
PO-00121,2023-06-14,Okta,Security,Merchant Services,Okta Security,40,126223.30,5048932.00,24,2025-06-03,94,Active
PO-00122,2023-03-15,Dell EMC,Storage,Consumer Products,Dell EMC Storage,4,220010.01,880040.04,60,2028-02-17,33,Active
PO-00123,2023-07-21,Juniper,Network Hardware,Fraud & Risk,Juniper Network Hardware,12,15393.62,184723.44,60,2028-06-24,65,Active
PO-00124,2023-04-25,Azure,Cloud Services,Core Payments,Azure Cloud Services,1,266255.99,266255.99,24,2025-04-14,58,Active
PO-00125,2026-03-05,Pure Storage,Storage,Fraud & Risk,Pure Storage Storage,2,139824.08,279648.16,60,2031-02-07,71,Active
PO-00126,2023-10-21,Datadog,Software License,Corporate IT,Datadog Software License,350,60587.03,21205460.50,12,2024-10-15,55,Active
PO-00127,2025-08-10,Azure,Cloud Services,Data Platform,Azure Cloud Services,1,536804.17,536804.17,24,2027-07-31,62,Active
PO-00128,2025-07-24,Dell EMC,Storage,Merchant Services,Dell EMC Storage,4,177223.68,708894.72,36,2028-07-08,56,Active
PO-00129,2025-01-05,HP,Laptops,Core Payments,HP Laptops,131,2191.55,287093.05,60,2029-12-10,58,Active
PO-00130,2023-04-11,Zscaler,Security,Merchant Services,Zscaler Security,1,104037.58,104037.58,36,2026-03-26,100,Retired
PO-00131,2024-01-25,Apple,Laptops,Fraud & Risk,Apple Laptops,190,1769.41,336187.90,60,2028-12-29,67,In Procurement
PO-00132,2023-03-22,GCP,Cloud Services,Fraud & Risk,GCP Cloud Services,1,723688.93,723688.93,24,2025-03-11,100,In Procurement
PO-00133,2023-07-04,Dell,Laptops,Corporate IT,Dell Laptops,196,3104.14,608411.44,36,2026-06-18,57,Pending Renewal
PO-00134,2023-12-03,Splunk,Software License,Corporate IT,Splunk Software License,257,228415.00,58702655.00,24,2025-11-22,88,In Procurement
PO-00135,2025-08-17,Apple,Laptops,Consumer Products,Apple Laptops,183,3291.00,602253.00,12,2026-08-12,100,In Procurement
PO-00136,2026-02-15,GCP,Cloud Services,Consumer Products,GCP Cloud Services,1,774143.10,774143.10,24,2028-02-05,100,Active
PO-00137,2025-07-20,Zscaler,Security,Core Payments,Zscaler Security,17,98900.15,1681302.55,24,2027-07-10,52,Pending Renewal
PO-00138,2026-02-23,Apple,Laptops,Core Payments,Apple Laptops,129,2425.84,312933.36,36,2029-02-07,38,Pending Renewal
PO-00139,2024-09-10,Cisco,Network Hardware,Consumer Products,Cisco Network Hardware,8,109579.58,876636.64,60,2029-08-15,57,Active
PO-00140,2026-01-05,Pure Storage,Storage,Core Payments,Pure Storage Storage,1,70178.01,70178.01,12,2026-12-31,74,Active
PO-00141,2023-11-13,Apple,Laptops,Consumer Products,Apple Laptops,286,2289.73,654862.78,36,2026-10-28,44,Pending Renewal
PO-00142,2025-06-29,Apple,Laptops,Core Payments,Apple Laptops,199,1764.90,351215.10,12,2026-06-24,33,In Procurement
PO-00143,2025-01-04,NetApp,Storage,Consumer Products,NetApp Storage,3,142949.48,428848.44,12,2025-12-30,56,Active
PO-00144,2023-02-13,Zscaler,Security,Core Payments,Zscaler Security,43,42118.52,1811096.36,12,2024-02-08,76,In Procurement
PO-00145,2026-02-09,NetApp,Storage,Fraud & Risk,NetApp Storage,5,63223.31,316116.55,12,2027-02-04,33,Active
PO-00146,2023-10-24,NetApp,Storage,Corporate IT,NetApp Storage,1,80159.59,80159.59,12,2024-10-18,47,Pending Renewal
PO-00147,2025-01-03,NetApp,Storage,Core Payments,NetApp Storage,1,45973.76,45973.76,12,2025-12-29,64,Active
PO-00148,2023-05-11,HPE,Server Hardware,Consumer Products,HPE Server Hardware,14,27465.16,384512.24,36,2026-04-25,65,Active
PO-00149,2023-03-30,ServiceNow,Software License,Core Payments,ServiceNow Software License,232,126207.75,29280198.00,36,2026-03-14,77,Pending Renewal
PO-00150,2025-09-07,Pure Storage,Storage,Consumer Products,Pure Storage Storage,1,29293.97,29293.97,36,2028-08-22,24,Active
PO-00151,2023-06-15,AWS,Cloud Services,Data Platform,AWS Cloud Services,1,68057.67,68057.67,24,2025-06-04,61,Active
PO-00152,2025-02-19,Salesforce,Software License,Corporate IT,Salesforce Software License,281,178182.12,50069175.72,36,2028-02-04,62,Pending Renewal
PO-00153,2023-08-23,Pure Storage,Storage,Corporate IT,Pure Storage Storage,5,116096.84,580484.20,60,2028-07-27,46,Retired
PO-00154,2025-04-27,Palo Alto,Security,Data Platform,Palo Alto Security,29,160415.93,4652061.97,24,2027-04-17,37,In Procurement
PO-00155,2024-10-02,HP,Laptops,Data Platform,HP Laptops,58,2012.63,116732.54,60,2029-09-06,66,Retired
PO-00156,2023-07-17,Dell,Laptops,Core Payments,Dell Laptops,53,1442.40,76447.20,60,2028-06-20,100,Retired
PO-00157,2026-02-24,NetApp,Storage,Corporate IT,NetApp Storage,1,152819.29,152819.29,60,2031-01-29,62,Active
PO-00158,2024-10-01,Zscaler,Security,Consumer Products,Zscaler Security,4,174469.76,697879.04,24,2026-09-21,77,Active
PO-00159,2024-04-04,ServiceNow,Software License,Fraud & Risk,ServiceNow Software License,80,164355.71,13148456.80,12,2025-03-30,51,Active
PO-00160,2026-02-22,Okta,Security,Corporate IT,Okta Security,15,146263.74,2193956.10,36,2029-02-06,90,Pending Renewal
PO-00161,2024-07-01,GCP,Cloud Services,Corporate IT,GCP Cloud Services,1,491105.98,491105.98,12,2025-06-26,82,Active
PO-00162,2026-03-05,Pure Storage,Storage,Core Payments,Pure Storage Storage,2,219417.74,438835.48,60,2031-02-07,99,Active
PO-00163,2023-07-07,HPE,Server Hardware,Consumer Products,HPE Server Hardware,21,43956.98,923096.58,60,2028-06-10,47,Active
PO-00164,2026-03-08,NetApp,Storage,Merchant Services,NetApp Storage,3,184575.05,553725.15,60,2031-02-10,63,Active
PO-00165,2023-06-17,HPE,Server Hardware,Fraud & Risk,HPE Server Hardware,25,30860.01,771500.25,36,2026-06-01,46,Pending Renewal
PO-00166,2023-08-22,HP,Laptops,Merchant Services,HP Laptops,120,3162.85,379542.00,36,2026-08-06,76,Active
PO-00167,2025-12-15,Lenovo,Server Hardware,Consumer Products,Lenovo Server Hardware,22,29945.97,658811.34,60,2030-11-19,62,Pending Renewal
PO-00168,2023-10-09,Dell,Server Hardware,Fraud & Risk,Dell Server Hardware,10,42976.99,429769.90,36,2026-09-23,82,Active
PO-00169,2023-12-26,NetApp,Storage,Core Payments,NetApp Storage,4,190548.32,762193.28,12,2024-12-20,42,Pending Renewal
PO-00170,2023-03-28,Salesforce,Software License,Merchant Services,Salesforce Software License,37,99569.26,3684062.62,24,2025-03-17,91,Active
PO-00171,2025-05-05,Dell,Laptops,Merchant Services,Dell Laptops,229,2690.84,616202.36,36,2028-04-19,71,Active
PO-00172,2023-08-05,Palo Alto,Network Hardware,Consumer Products,Palo Alto Network Hardware,6,15134.94,90809.64,12,2024-07-30,70,Active
PO-00173,2024-09-27,Datadog,Software License,Corporate IT,Datadog Software License,41,99243.79,4068995.39,36,2027-09-12,57,Active
PO-00174,2024-12-16,Dell,Server Hardware,Corporate IT,Dell Server Hardware,17,15174.44,257965.48,36,2027-12-01,84,Retired
PO-00175,2024-02-09,Palo Alto,Security,Fraud & Risk,Palo Alto Security,7,30627.74,214394.18,12,2025-02-03,38,Retired
PO-00176,2026-02-28,HPE,Server Hardware,Consumer Products,HPE Server Hardware,16,25166.26,402660.16,60,2031-02-02,45,Active
PO-00177,2024-10-09,GCP,Cloud Services,Consumer Products,GCP Cloud Services,1,692755.03,692755.03,12,2025-10-04,45,Retired
PO-00178,2023-06-01,Pure Storage,Storage,Corporate IT,Pure Storage Storage,1,97706.42,97706.42,36,2026-05-16,77,Pending Renewal
PO-00179,2023-07-04,Lenovo,Server Hardware,Merchant Services,Lenovo Server Hardware,3,31852.66,95557.98,60,2028-06-07,50,Pending Renewal
PO-00180,2026-03-16,Salesforce,Software License,Core Payments,Salesforce Software License,231,227307.96,52508138.76,36,2029-02-28,55,Active
PO-00181,2023-05-07,Dell EMC,Storage,Data Platform,Dell EMC Storage,5,50452.35,252261.75,36,2026-04-21,100,Active
PO-00182,2025-06-18,HPE,Server Hardware,Core Payments,HPE Server Hardware,8,34182.00,273456.00,60,2030-05-23,96,Pending Renewal
PO-00183,2025-03-04,Oracle,Software License,Merchant Services,Oracle Software License,191,229525.23,43839318.93,24,2027-02-22,73,Active
PO-00184,2025-03-02,Okta,Security,Core Payments,Okta Security,22,21538.54,473847.88,24,2027-02-20,35,Active
PO-00185,2023-10-17,GCP,Cloud Services,Corporate IT,GCP Cloud Services,1,273356.01,273356.01,24,2025-10-06,56,Retired
PO-00186,2025-02-10,Lenovo,Laptops,Corporate IT,Lenovo Laptops,53,2004.91,106260.23,60,2030-01-15,97,In Procurement
PO-00187,2025-05-17,NetApp,Storage,Consumer Products,NetApp Storage,5,36961.45,184807.25,60,2030-04-21,54,Active
PO-00188,2023-10-09,Juniper,Network Hardware,Data Platform,Juniper Network Hardware,4,31052.45,124209.80,12,2024-10-03,83,Active
PO-00189,2025-12-14,NetApp,Storage,Corporate IT,NetApp Storage,5,211253.16,1056265.80,12,2026-12-09,44,Pending Renewal
PO-00190,2023-12-06,Palo Alto,Network Hardware,Fraud & Risk,Palo Alto Network Hardware,3,25797.29,77391.87,60,2028-11-09,29,Active
PO-00191,2025-06-28,Supermicro,Server Hardware,Merchant Services,Supermicro Server Hardware,22,34624.67,761742.74,60,2030-06-02,60,Active
PO-00192,2024-02-02,Arista,Network Hardware,Merchant Services,Arista Network Hardware,8,108957.05,871656.40,36,2027-01-17,100,Retired
PO-00193,2025-02-21,Datadog,Software License,Data Platform,Datadog Software License,394,70802.05,27896007.70,36,2028-02-06,11,In Procurement
PO-00194,2025-01-30,Arista,Network Hardware,Merchant Services,Arista Network Hardware,1,78735.59,78735.59,60,2030-01-04,58,Active
PO-00195,2023-11-25,GCP,Cloud Services,Core Payments,GCP Cloud Services,1,76261.35,76261.35,24,2025-11-14,42,In Procurement
PO-00196,2023-02-24,Dell,Laptops,Fraud & Risk,Dell Laptops,240,3500.04,840009.60,36,2026-02-08,76,Active
PO-00197,2025-02-06,Apple,Laptops,Fraud & Risk,Apple Laptops,207,3785.77,783654.39,12,2026-02-01,100,In Procurement
PO-00198,2024-08-10,GCP,Cloud Services,Merchant Services,GCP Cloud Services,1,118703.67,118703.67,24,2026-07-31,76,Retired
PO-00199,2023-01-11,Palo Alto,Security,Consumer Products,Palo Alto Security,31,83505.26,2588663.06,12,2024-01-06,83,Active
PO-00200,2024-08-13,Salesforce,Software License,Corporate IT,Salesforce Software License,271,106102.06,28753658.26,12,2025-08-08,69,Active
PO-00201,2025-07-25,Dell,Server Hardware,Fraud & Risk,Dell Server Hardware,14,31641.21,442976.94,12,2026-07-20,100,Pending Renewal
PO-00202,2023-10-22,Microsoft,Software License,Consumer Products,Microsoft Software License,264,143974.34,38009225.76,24,2025-10-11,98,Active
PO-00203,2023-06-25,Lenovo,Server Hardware,Fraud & Risk,Lenovo Server Hardware,19,23413.00,444847.00,60,2028-05-29,76,Pending Renewal
PO-00204,2025-08-20,ServiceNow,Software License,Corporate IT,ServiceNow Software License,284,5573.41,1582848.44,12,2026-08-15,66,Retired
